NAME,NTEE_CD,Category,Location,lat_lon
DRAGON VANDALS PTO,B11,B,"403 WAHKIACUS HEIGHTS RD, WAHKIACUS, WA, 98670-9722","(-121.12080538982035, 45.86392733215563)"
SPOKANE ELEMENTARY SCHOOL PRINCIPALS ASSOCIATION,Y99,Y,"3715 S SKYVIEW DR, SPOKANE, WA, 99203-2736","(-117.40769355979009, 47.620621940898324)"
SIDEOUT VOLLEYBALL CLUB,B90,B,"2009 W STRATTON AVE, SPOKANE, WA, 99208-7042","(-117.44092410146115, 47.72437553044939)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"2006 W 2ND ST, ABERDEEN, WA, 98520-5507","(-123.8405263877551, 46.97155769387755)"
ELLIOTT BAY MUSIC EDUCATORS ASSOCIATION,A68,A,"13015 14TH PL NE, SEATTLE, WA, 98125-4018","(-122.31378631803489, 47.72400815)"
SWEET ADELINES INTERNATIONAL,A6BZ,A,"22009 W JACOBS RD, SPOKANE, WA, 99224-9425","(-117.71210285181394, 47.71578400271992)"
VASHON GREEN SCHOOL,S20,S,"16245 WESTSIDE HWY SW, VASHON, WA, 98070-3721","(-122.4995243604039, 47.460603087471846)"
KOL HANESHAMAH,X20,X,"6115 SW HINDS ST, SEATTLE, WA, 98116-2735","(-122.4116683, 47.5737709)"
NIKKEI HERITAGE ASSOCIATION OF WASHINGTON,A23,A,"1414 S WELLER ST, SEATTLE, WA, 98144-2053","(-122.3124896, 47.5976778)"
AFRICA VILLAGE MINISTRIES,X21,X,"4094 W LAKE SAMMAMISH PKWY SE, BELLEVUE, WA, 98008-5938","(-122.10103074521129, 47.57009066618132)"
KNIT FOR LIFE,E86,E,"1314 SUNSET AVE SW, SEATTLE, WA, 98116-1645","(-122.38760473649884, 47.59178835)"
PUNKIN PATCH CHILDCARE CENTER,P33,P,"9488 RD O NW, QUINCY, WA, 98848-9602","(-119.810781, 47.243235)"
NET MINISTRIES,X20,X,"3360 THORNTON RD, FERNDALE, WA, 98248-9265","(-122.66386801838159, 48.862844241455754)"
CLYDE E BAY FOUNDATION,E60,E,"3819 NE 59TH AVE, VANCOUVER, WA, 98661-3274","(-122.61175960804962, 45.64957435)"
NORTHWEST EXPLORERS,U30,U,"15848 NE 92ND WAY, REDMOND, WA, 98052-7527","(-122.1286171632653, 47.68391855102041)"
WASHINGTON STATE ENVIROTHON,C60,C,"308 W STEWART, PUYALLUP, WA, 98371-4368","(-122.2981883901044, 47.19336045)"
WESTERN WASHINGTON WALLEYE CLUB,N50,N,"16618 SE 40TH PL, BELLEVUE, WA, 98008-5977","(-122.11807374551127, 47.574150745113634)"
PRATIDHWANI,A23,A,"442 4TH AVE S, KIRKLAND, WA, 98033-6616","(-122.1993381710925, 47.67294235)"
